"filename", "language", "JSON", "UnityShader", "C#", "UnityAssemblyDefinition", "XML", "Python", "JSON with Comments", "reStructuredText", "Shell Script", "Markdown", "Ini", "C", "Properties", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\contrib\pyopenssl.py", "Python", 0, 0, 0, 0, 0, -346, 0, 0, 0, 0, 0, 0, 0, -22, -88, -456
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\contrib\securetransport.py", "Python", 0, 0, 0, 0, 0, -562, 0, 0, 0, 0, 0, 0, 0, -129, -120, -811
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\contrib\socks.py", "Python", 0, 0, 0, 0, 0, -149, 0, 0, 0, 0, 0, 0, 0, -7, -33, -189
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\exceptions.py", "Python", 0, 0, 0, 0, 0, -153, 0, 0, 0, 0, 0, 0, 0, -8, -86, -247
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\fields.py", "Python", 0, 0, 0, 0, 0, -146, 0, 0, 0, 0, 0, 0, 0, 0, -33, -179
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\filepost.py", "Python", 0, 0, 0, 0, 0, -66, 0, 0, 0, 0, 0, 0, 0, 0, -29, -95
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\packages\__init__.py", "Python", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\packages\backports\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\packages\backports\makefile.py", "Python", 0, 0, 0, 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, -1, -5, -54
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\packages\ordered_dict.py", "Python", 0, 0, 0, 0, 0, -200, 0, 0, 0, 0, 0, 0, 0, -19, -41, -260
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\packages\six.py", "Python", 0, 0, 0, 0, 0, -654, 0, 0, 0, 0, 0, 0, 0, -45, -170, -869
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\packages\ssl_match_hostname\__init__.py", "Python", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -5, -4, -20
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\packages\ssl_match_hostname\_implementation.py", "Python", 0, 0, 0, 0, 0, -98, 0, 0, 0, 0, 0, 0, 0, -37, -23, -158
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\poolmanager.py", "Python", 0, 0, 0, 0, 0, -320, 0, 0, 0, 0, 0, 0, 0, -30, -91, -441
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\request.py", "Python", 0, 0, 0, 0, 0, -113, 0, 0, 0, 0, 0, 0, 0, 0, -36, -149
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\response.py", "Python", 0, 0, 0, 0, 0, -454, 0, 0, 0, 0, 0, 0, 0, -66, -107, -627
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\util\__init__.py", "Python", 0, 0, 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, -1, -3, -55
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\util\connection.py", "Python", 0, 0, 0, 0, 0, -88, 0, 0, 0, 0, 0, 0, 0, -13, -30, -131
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\util\request.py", "Python", 0, 0, 0, 0, 0, -91, 0, 0, 0, 0, 0, 0, 0, -2, -26, -119
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\util\response.py", "Python", 0, 0, 0, 0, 0, -53, 0, 0, 0, 0, 0, 0, 0, -8, -21, -82
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\util\retry.py", "Python", 0, 0, 0, 0, 0, -291, 0, 0, 0, 0, 0, 0, 0, -11, -100, -402
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\util\selectors.py", "Python", 0, 0, 0, 0, 0, -444, 0, 0, 0, 0, 0, 0, 0, -36, -102, -582
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\util\ssl_.py", "Python", 0, 0, 0, 0, 0, -253, 0, 0, 0, 0, 0, 0, 0, -31, -58, -342
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\WakaTime\client\wakatime\packages\urllib3\util\timeout.py", "Python", 0, 0, 0, 0, 0, -179, 0, 0, 0, 0, 0, 0, 0, -10, -54, -243
