Date : 2024-12-03 18:22:18
Directory : c:\Users\Torte\Documents\Unity\LogRogue
Total : 2354 files,  2703599 codes, 11408 comments, 24838 blanks, all 2739845 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3\es                                                                                                                   |          1 |         36 |          0 |          0 |         36 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3\fr                                                                                                                   |          1 |         36 |          0 |          0 |         36 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3\it                                                                                                                   |          1 |         36 |          0 |          0 |         36 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3\ja                                                                                                                   |          1 |         36 |          0 |          0 |         36 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3\ko                                                                                                                   |          1 |         36 |          0 |          0 |         36 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3\ru                                                                                                                   |          1 |         36 |          0 |          0 |         36 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3\zh-hans                                                                                                              |          1 |         36 |          0 |          0 |         36 |
| Packages\Microsoft.Win32.Primitives.4.3.0\ref\netstandard1.3\zh-hant                                                                                                              |          1 |         36 |          0 |          0 |         36 |
| Packages\System.AppContext.4.3.0                                                                                                                                                  |         20 |        664 |          0 |          0 |        664 |
| Packages\System.AppContext.4.3.0\ref                                                                                                                                              |         20 |        664 |          0 |          0 |        664 |
| Packages\System.AppContext.4.3.0\ref\netstandard1.3                                                                                                                               |         10 |        332 |          0 |          0 |        332 |
| Packages\System.AppContext.4.3.0\ref\netstandard1.3 (Files)                                                                                                                       |          1 |         34 |          0 |          0 |         34 |
| Packages\System.AppContext.4.3.0\ref\netstandard1.3\de                                                                                                                            |          1 |         34 |          0 |          0 |         34 |
| Packages\System.AppContext.4.3.0\ref\netstandard1.3\es                                                                                                                            |          1 |         30 |          0 |          0 |         30 |
| Packages\System.AppContext.4.3.0\ref\netstandard1.3\fr                                                                                                                            |          1 |         34 |          0 |          0 |         34 |
| Packages\System.AppContext.4.3.0\ref\netstandard1.3\it                                                                                                                            |          1 |         34 |          0 |          0 |         34 |
| Packages\System.AppContext.4.3.0\ref\netstandard1.3\ja                                                                                                                            |          1 |         34 |          0 |          0 |         34 |
| Packages\System.AppContext.4.3.0\ref\netstandard1.3\ko                                                                                                                            |          1 |         34 |          0 |          0 |         34 |
