Date : 2024-09-04 04:25:08
Directory : c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain
Total : 386 files,  10661 codes, 21 comments, 1245 blanks, all 11927 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\ButterflyType.cs                         | C#                      |          8 |          0 |          0 |          8 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Cat.cs                                   | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\CatType.cs                               | C#                      |         12 |          0 |          0 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Chest.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\ChestType.cs                             | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Chicken.cs                               | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\ChickenType.cs                           | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Cloud.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\CloudType.cs                             | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Coffin.cs                                | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\CoffinType.cs                            | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Count.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\CountType.cs                             | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Crab.cs                                  | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\CrabType.cs                              | C#                      |         12 |          0 |          0 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Disc.cs                                  | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\DiscType.cs                              | C#                      |          7 |          0 |          0 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Dog.cs                                   | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\DogType.cs                               | C#                      |         13 |          0 |          0 |         13 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Duck.cs                                  | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\DuckType.cs                              | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Dwarf.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\DwarfType.cs                             | C#                      |         12 |          0 |          0 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Dye.cs                                   | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\DyeType.cs                               | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\Earth.cs                                 | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\EarthSmall.cs                            | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\EarthSmallType.cs                        | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\EarthSmaller.cs                          | C#                      |         21 |          0 |          4 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Type\EarthSmallerType.cs                      | C#                      |          9 |          0 |          0 |          9 |
